registration_date,total_usage_time,pets,carpet_score,sent_for_repair,failure_date,battery_status,impact_status,ir_status,had_failure,time_to_failure,type_of_failure
2015-01-01,262,0,1,1,2015-10-23,0,0,1,1,295,Ir
2015-01-01,2003,0,2,1,2019-12-18,0,0,0,1,1812,Unknown_Component
2015-01-01,2454,1,4,1,2018-11-28,1,1,0,1,1427,Battery_and_Impact
2015-01-01,987,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-02,1472,0,1,1,2019-12-07,1,0,0,1,1800,Battery
2015-01-03,292,0,4,1,2016-09-04,1,0,0,1,610,Battery
2015-01-03,2190,1,1,1,2018-11-12,1,0,0,1,1409,Battery
2015-01-03,2932,1,3,1,2019-09-20,0,1,0,1,1721,Impact
2015-01-03,3191,1,2,1,2017-11-01,0,1,0,1,1033,Impact
2015-01-03,993,0,2,1,2018-06-03,1,0,0,1,1247,Battery
2015-01-03,1024,0,3,1,2017-04-10,1,0,0,1,828,Battery
2015-01-03,2485,0,3,1,2019-08-16,1,0,0,1,1686,Battery
2015-01-04,1565,1,4,1,2016-07-29,0,0,1,1,572,Ir
2015-01-05,727,0,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-05,1850,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-05,2393,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-05,2190,0,3,1,2019-08-31,0,0,0,1,1699,Unknown_Component
2015-01-06,2115,0,3,1,2019-07-27,0,1,0,1,1663,Impact
2015-01-06,1746,0,3,1,2018-11-26,1,0,0,1,1420,Battery
2015-01-07,2676,1,2,1,2019-03-02,1,0,0,1,1515,Battery
2015-01-07,718,0,3,1,2017-09-06,0,0,1,1,973,Ir
2015-01-07,1530,0,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-08,659,0,3,1,2017-01-26,1,0,0,1,749,Battery
2015-01-08,1186,0,5,1,2018-01-12,1,0,0,1,1100,Battery
2015-01-08,3022,1,1,1,2018-09-24,1,0,0,1,1355,Battery
2015-01-08,1302,1,3,1,2017-08-12,1,0,0,1,947,Battery
2015-01-09,1206,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-09,2358,0,3,1,2019-10-05,1,0,0,1,1730,Battery
2015-01-09,1676,1,3,1,2019-05-13,1,0,0,1,1585,Battery
2015-01-09,2069,0,5,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-10,2261,1,3,1,2017-06-30,1,0,0,1,902,Battery
2015-01-10,1505,0,6,1,2018-12-07,1,0,0,1,1427,Battery
2015-01-11,1279,0,3,1,2019-05-21,1,0,0,1,1591,Battery
2015-01-11,2479,1,1,1,2017-04-05,0,1,0,1,815,Impact
2015-01-11,1972,1,1,1,2017-03-03,1,0,0,1,782,Battery
2015-01-12,1238,0,1,1,2018-12-24,1,0,0,1,1442,Battery
2015-01-12,1429,0,1,1,2018-03-02,1,0,0,1,1145,Battery
2015-01-13,2757,1,3,1,2017-12-08,0,1,0,1,1060,Impact
2015-01-13,1594,1,1,1,2018-08-09,1,0,0,1,1304,Battery
2015-01-13,621,0,3,1,2019-08-19,1,0,0,1,1679,Battery
2015-01-14,1714,1,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-14,2550,1,2,1,2018-08-08,1,0,0,1,1302,Battery
2015-01-14,1708,0,3,1,2018-03-19,1,0,0,1,1160,Battery
2015-01-14,2490,1,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-15,1563,0,2,1,2019-12-09,1,0,0,1,1789,Battery
2015-01-15,1120,0,1,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-15,1211,0,3,1,2018-07-19,1,0,0,1,1281,Battery
2015-01-15,2734,1,2,1,2017-11-14,1,0,0,1,1034,Battery
2015-01-15,782,0,2,1,2018-10-05,1,0,0,1,1359,Battery
2015-01-15,1075,0,2,1,2018-07-30,1,0,0,1,1292,Battery
2015-01-16,1195,0,2,1,2018-11-02,1,0,0,1,1386,Battery
2015-01-16,2338,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-16,762,0,4,1,2016-10-13,0,0,1,1,636,Ir
2015-01-17,2804,1,3,1,2017-12-12,1,0,0,1,1060,Battery
2015-01-17,3193,1,3,1,2019-03-17,1,0,0,1,1520,Battery
2015-01-17,40,1,4,1,2016-09-07,1,0,0,1,599,Battery
2015-01-17,2366,1,2,1,2019-12-25,1,0,0,1,1803,Battery
2015-01-18,1928,0,4,1,2018-12-06,1,0,0,1,1418,Battery
2015-01-18,1755,0,1,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-18,2523,1,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-19,2460,1,4,1,2018-05-06,1,0,0,1,1203,Battery
2015-01-19,2020,1,3,1,2017-11-07,1,0,0,1,1023,Battery
2015-01-20,447,1,4,1,2015-07-08,0,0,1,1,169,Ir
2015-01-20,2767,1,1,1,2017-10-06,1,0,0,1,990,Battery
2015-01-20,3344,1,3,1,2018-11-14,0,1,0,1,1394,Impact
2015-01-20,1967,0,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-21,286,0,2,1,2016-01-11,0,0,1,1,355,Ir
2015-01-21,929,0,2,1,2019-02-18,0,0,0,1,1489,Unknown_Component
2015-01-21,1421,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-21,687,0,1,1,2019-02-11,0,0,0,1,1482,Unknown_Component
2015-01-21,1240,0,2,1,2018-12-25,1,0,0,1,1434,Battery
2015-01-22,1734,1,4,1,2019-03-01,1,0,0,1,1499,Battery
2015-01-22,1494,0,4,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-23,3128,1,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-24,2227,1,3,1,2018-08-24,1,0,0,1,1308,Battery
2015-01-24,2664,1,5,1,2019-02-23,1,0,0,1,1491,Battery
2015-01-24,2892,1,6,1,2017-08-12,1,0,0,1,931,Battery
2015-01-24,2043,0,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-25,1773,1,4,1,2017-08-30,1,0,0,1,948,Battery
2015-01-26,2189,0,1,1,2019-12-24,1,0,0,1,1793,Battery
2015-01-26,1740,0,1,1,2019-01-12,1,0,0,1,1447,Battery
2015-01-26,1755,1,4,1,2017-10-11,1,0,0,1,989,Battery
2015-01-27,2331,1,2,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-27,1888,1,3,1,2017-11-24,1,0,0,1,1032,Battery
2015-01-27,1174,0,2,1,2019-05-02,1,0,0,1,1556,Battery
2015-01-27,843,0,1,1,2019-06-02,0,0,0,1,1587,Unknown_Component
2015-01-28,1719,0,2,1,2019-08-31,1,0,0,1,1676,Battery
2015-01-28,3056,1,2,1,2018-06-23,0,1,0,1,1242,Impact
2015-01-28,1320,0,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-29,1155,0,1,1,2018-03-28,1,0,0,1,1154,Battery
2015-01-29,1091,0,3,1,2019-04-05,0,0,1,1,1527,Ir
2015-01-30,2306,0,1,1,2019-11-23,0,1,0,1,1758,Impact
2015-01-30,1713,0,1,0,1970-01-01,0,0,0,0,-1,Censored
2015-01-31,2017,1,3,1,2017-01-23,1,0,0,1,723,Battery
2015-02-01,1771,0,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-02-01,1883,0,1,0,1970-01-01,0,0,0,0,-1,Censored
2015-02-01,1828,0,2,1,2019-10-30,1,0,0,1,1732,Battery
2015-02-02,1331,1,2,1,2017-03-09,1,0,0,1,766,Battery
2015-02-02,1066,0,3,1,2017-05-10,1,0,0,1,828,Battery
2015-02-02,2553,1,1,1,2019-05-19,0,1,0,1,1567,Impact
2015-02-04,830,1,4,0,1970-01-01,0,0,0,0,-1,Censored
2015-02-04,919,0,1,1,2019-04-16,1,0,0,1,1532,Battery
2015-02-04,1812,0,4,1,2019-09-09,1,0,0,1,1678,Battery
2015-02-05,2989,1,2,1,2017-11-02,1,0,0,1,1001,Battery
2015-02-05,2006,0,1,0,1970-01-01,0,0,0,0,-1,Censored
2015-02-05,1779,0,3,1,2019-09-14,1,0,0,1,1682,Battery
2015-02-06,2191,1,1,1,2019-03-31,1,0,0,1,1514,Battery
2015-02-06,1896,0,3,0,1970-01-01,0,0,0,0,-1,Censored
2015-02-06,1349,1,4,1,2016-08-04,1,0,0,1,545,Battery
2015-02-07,1886,0,3,1,2019-03-19,1,0,0,1,1501,Battery
2015-02-07,1835,1,5,1,2016-11-15,1,0,0,1,647,Battery
2015-02-08,1837,0,1,1,2018-11-11,1,0,0,1,1372,Battery
2015-02-08,2546,0,1,1,2019-04-28,1,0,0,1,1540,Battery
2015-02-08,2712,1,1,1,2018-01-09,0,1,0,1,1066,Impact
