registration_date,total_usage_time,pets,carpet_score,sent_for_repair,failure_date,battery_status,impact_status,ir_status,had_failure,time_to_failure,type_of_failure
2015-01-01,2454,1,4,1,2018-11-28,1,1,2,1,1427,Battery_and_Impact
2015-01-03,2932,1,3,1,2019-09-20,2,1,2,1,1721,Impact
2015-01-03,3191,1,2,1,2017-11-01,2,1,2,1,1033,Impact
2015-01-06,2115,0,3,1,2019-07-27,2,1,2,1,1663,Impact
2015-01-11,2479,1,1,1,2017-04-05,2,1,2,1,815,Impact
2015-01-13,2757,1,3,1,2017-12-08,2,1,2,1,1060,Impact
2015-01-20,3344,1,3,1,2018-11-14,2,1,2,1,1394,Impact
2015-01-28,3056,1,2,1,2018-06-23,2,1,2,1,1242,Impact
2015-01-30,2306,0,1,1,2019-11-23,2,1,2,1,1758,Impact
2015-02-02,2553,1,1,1,2019-05-19,2,1,2,1,1567,Impact
2015-02-08,2712,1,1,1,2018-01-09,2,1,2,1,1066,Impact
2015-02-15,1825,0,2,1,2019-10-01,2,1,2,1,1689,Impact
2015-02-16,2295,0,2,1,2019-11-28,2,1,2,1,1746,Impact
2015-02-18,3183,1,2,1,2019-01-08,2,1,2,1,1420,Impact
2015-02-19,2851,1,1,1,2018-08-30,2,1,2,1,1288,Impact
2015-02-22,2236,0,1,1,2019-09-14,2,1,2,1,1665,Impact
2015-02-26,3181,1,3,1,2018-04-24,2,1,2,1,1153,Impact
2015-02-26,2933,1,4,1,2019-06-02,2,1,2,1,1557,Impact
2015-03-06,3203,1,2,1,2018-10-25,2,1,2,1,1329,Impact
2015-03-09,2728,1,1,1,2019-07-11,2,1,2,1,1585,Impact
2015-03-10,2702,1,1,1,2017-09-20,2,1,2,1,925,Impact
2015-03-10,2809,1,2,1,2018-04-26,2,1,2,1,1143,Impact
2015-03-13,2429,0,1,1,2019-11-29,2,1,2,1,1722,Impact
2015-03-20,2243,1,1,1,2017-12-20,2,1,2,1,1006,Impact
2015-03-27,2727,1,2,1,2017-07-10,2,1,2,1,836,Impact
2015-03-27,2882,1,1,1,2019-12-14,2,1,2,1,1723,Impact
2015-04-02,3140,1,2,1,2019-09-09,2,1,2,1,1621,Impact
2015-04-02,2095,0,3,1,2019-02-16,2,1,2,1,1416,Impact
2015-04-04,2850,1,1,1,2019-04-27,2,1,2,1,1484,Impact
2015-04-05,3042,1,1,1,2018-02-18,2,1,2,1,1050,Impact
2015-04-14,2803,0,1,1,2019-11-15,2,1,2,1,1676,Impact
2015-04-30,2942,1,3,1,2019-04-26,2,1,2,1,1457,Impact
2015-05-09,3420,1,1,1,2019-03-24,2,1,2,1,1415,Impact
2015-05-23,2610,1,2,1,2018-06-02,2,1,2,1,1106,Impact
2015-05-24,2078,1,1,1,2016-09-30,2,1,2,1,495,Impact
2015-05-30,1667,1,2,1,2019-05-18,2,1,2,1,1449,Impact
2015-06-04,1900,0,1,1,2019-05-21,2,1,2,1,1447,Impact
2015-06-10,1526,0,2,1,2018-08-06,2,1,2,1,1153,Impact
2015-06-10,2291,0,1,1,2019-12-18,2,1,2,1,1652,Impact
2015-06-12,2845,1,2,1,2019-01-10,2,1,2,1,1308,Impact
2015-06-19,2745,1,2,1,2018-08-17,2,1,2,1,1155,Impact
2015-06-24,3271,1,2,1,2018-12-29,2,1,2,1,1284,Impact
2015-06-27,2117,0,1,1,2019-04-30,2,1,2,1,1403,Impact
2015-06-28,1810,0,4,1,2019-10-14,2,1,2,1,1569,Impact
2015-07-04,3606,1,3,1,2019-03-10,2,1,2,1,1345,Impact
2015-07-08,2792,1,2,1,2018-11-04,2,1,2,1,1215,Impact
2015-07-09,2818,1,2,1,2018-10-03,2,1,2,1,1182,Impact
2015-07-10,2811,1,2,1,2019-06-28,2,1,2,1,1449,Impact
2015-07-28,2008,0,3,1,2019-05-13,2,1,2,1,1385,Impact
2015-07-29,2764,0,3,1,2019-12-14,2,1,2,1,1599,Impact
2015-07-29,2906,1,2,1,2019-01-23,2,1,2,1,1274,Impact
2015-08-03,2966,1,3,1,2017-12-25,1,1,2,1,875,Battery_and_Impact
2015-08-05,2996,1,3,1,2019-01-06,2,1,2,1,1250,Impact
2015-08-10,2873,1,4,1,2018-10-28,2,1,2,1,1175,Impact
2015-08-14,2823,1,3,1,2018-08-15,2,1,2,1,1097,Impact
2015-08-24,2642,1,2,1,2018-01-28,2,1,2,1,888,Impact
2015-08-26,2800,1,4,1,2018-12-23,2,1,2,1,1215,Impact
2015-08-28,2266,1,2,1,2019-03-03,2,1,2,1,1283,Impact
2015-08-31,2903,1,1,1,2018-05-12,2,1,2,1,985,Impact
2015-09-06,3186,1,4,1,2019-12-22,2,1,2,1,1568,Impact
2015-09-08,2910,1,1,1,2018-04-20,2,1,2,1,955,Impact
2015-09-15,4019,1,3,1,2019-05-26,2,1,2,1,1349,Impact
2015-09-16,2527,1,1,1,2019-12-27,2,1,2,1,1563,Impact
2015-09-21,3210,1,2,1,2019-08-21,2,1,2,1,1430,Impact
2015-09-22,3570,1,2,1,2018-09-06,2,1,2,1,1080,Impact
2015-09-29,2640,1,1,1,2019-11-18,2,1,2,1,1511,Impact
2015-10-01,3767,1,5,1,2018-12-03,2,1,2,1,1159,Impact
2015-10-11,3360,1,1,1,2018-08-09,2,1,2,1,1033,Impact
2015-10-13,2221,1,1,1,2018-05-21,2,1,2,1,951,Impact
2015-10-18,2654,1,2,1,2018-12-19,2,1,2,1,1158,Impact
2015-10-18,2285,1,1,1,2017-09-01,2,1,2,1,684,Impact
2015-10-24,1278,0,2,1,2019-05-28,2,1,2,1,1312,Impact
2015-11-06,2528,1,3,1,2018-06-17,2,1,2,1,954,Impact
2015-11-13,2914,1,4,1,2018-10-23,2,1,2,1,1075,Impact
2015-11-21,3268,1,1,1,2019-03-27,2,1,2,1,1222,Impact
2015-11-22,3007,1,1,1,2019-08-24,2,1,2,1,1371,Impact
2015-12-04,1421,1,1,1,2018-02-03,2,1,2,1,792,Impact
2015-12-08,3581,1,2,1,2019-06-06,2,1,2,1,1276,Impact
2016-01-02,2875,1,3,1,2018-11-20,2,1,2,1,1053,Impact
2016-01-03,2431,1,1,1,2018-12-03,2,1,2,1,1065,Impact
2016-01-06,2875,1,1,1,2018-11-25,2,1,2,1,1054,Impact
2016-01-16,2840,1,1,1,2018-08-20,2,1,2,1,947,Impact
2016-01-25,3062,1,3,1,2019-03-13,2,1,2,1,1143,Impact
2016-01-30,2521,1,2,1,2019-11-08,2,1,2,1,1378,Impact
2016-02-12,2697,1,1,1,2019-02-18,2,1,2,1,1102,Impact
2016-02-21,3197,1,1,1,2019-10-21,2,1,2,1,1338,Impact
2016-02-21,3149,1,1,1,2019-02-28,2,1,2,1,1103,Impact
2016-02-23,2895,1,2,1,2019-09-02,2,1,2,1,1287,Impact
2016-02-26,3329,1,2,1,2019-10-27,2,1,2,1,1339,Impact
2016-03-10,2266,1,2,1,2018-10-31,2,1,2,1,965,Impact
2016-03-23,2557,1,1,1,2018-03-11,2,1,2,1,718,Impact
2016-04-07,2976,1,3,1,2019-10-13,2,1,2,1,1284,Impact
2016-04-13,2662,1,1,1,2019-06-12,2,1,2,1,1155,Impact
2016-04-16,2355,1,1,1,2019-11-11,2,1,2,1,1304,Impact
2016-04-30,2445,1,1,1,2018-07-30,2,1,2,1,821,Impact
2016-05-08,3380,1,3,1,2019-12-19,2,1,2,1,1320,Impact
2016-05-14,2947,1,1,1,2018-09-11,2,1,2,1,850,Impact
2016-05-28,2526,1,1,1,2019-03-17,2,1,2,1,1023,Impact
2016-06-05,2515,1,1,1,2018-12-04,2,1,2,1,912,Impact
2016-06-24,2328,1,3,1,2019-08-10,2,1,2,1,1142,Impact
2016-06-27,3341,1,3,1,2019-12-30,2,1,2,1,1281,Impact
2016-06-29,3154,1,2,1,2019-05-03,2,1,2,1,1038,Impact
2016-08-11,2005,1,1,1,2018-06-07,2,1,2,1,665,Impact
2016-09-04,3029,1,2,1,2019-12-27,2,1,2,1,1209,Impact
2016-10-22,3109,1,2,1,2019-11-11,2,1,2,1,1115,Impact
2016-10-23,2348,1,2,1,2019-06-22,2,1,2,1,972,Impact
2016-10-26,1873,1,2,1,2019-06-02,2,1,2,1,949,Impact
2016-11-12,3048,1,2,1,2019-05-18,2,1,2,1,917,Impact
2016-11-12,2822,1,2,1,2019-11-24,2,1,2,1,1107,Impact
